iter	Logloss
0	0.6296860876
1	0.5468208254
2	0.4999171059
3	0.4501881361
4	0.4099303572
5	0.3746897418
6	0.3503844589
7	0.3273438912
8	0.315205661
9	0.3005697889
10	0.2914904343
11	0.283491957
12	0.2766534006
13	0.2654130622
14	0.2593563094
15	0.2545331042
16	0.2499689045
17	0.2444107279
18	0.2400782664
19	0.2363261509
20	0.232890443
21	0.2294282137
22	0.2255153543
23	0.2231201959
24	0.220444511
25	0.2177300307
26	0.2149375518
27	0.2123083011
28	0.2100667618
29	0.2082812375
30	0.2058977309
31	0.2036998417
32	0.2012464271
33	0.1989663586
34	0.1976822805
35	0.1960785481
36	0.1946630926
37	0.1930133182
38	0.1916992442
39	0.1902337737
40	0.1890922406
41	0.1878723818
42	0.1871854103
43	0.1852940474
44	0.1844424281
45	0.1827430977
46	0.1813423204
47	0.1796018413
48	0.1784166538
49	0.1774028086
50	0.1755602511
51	0.1746140561
52	0.1735215899
53	0.1713691278
54	0.1701139069
55	0.1688482959
56	0.1676017051
57	0.1659079606
58	0.1638172071
59	0.1629585907
60	0.1620048315
61	0.1609031889
62	0.1603198801
63	0.1592744857
64	0.1582344655
65	0.1577730855
66	0.1559840158
67	0.154706038
68	0.1543219469
69	0.1535346827
70	0.1531438678
71	0.151936014
72	0.1513259321
73	0.1509996238
74	0.1507119364
75	0.1501420248
76	0.1491999815
77	0.1485346991
78	0.1479260334
79	0.146788891
80	0.14520807
81	0.1445037352
82	0.1439369113
83	0.143127202
84	0.1426474908
85	0.142146124
86	0.1417326393
87	0.1412905378
88	0.1410280829
89	0.1395980631
90	0.1391580478
91	0.1386627158
92	0.1384335253
93	0.137765561
94	0.1374535276
95	0.1365515184
96	0.1359295179
97	0.1351996353
98	0.1347256782
99	0.1341637669
