iter	Passed	Remaining
0	1	224
1	2	207
2	2	190
3	3	182
4	4	176
5	5	177
6	6	176
7	7	175
8	8	173
9	9	171
10	9	171
11	10	168
12	11	168
13	12	166
14	13	165
15	14	164
16	15	163
17	16	161
18	16	160
19	17	159
20	18	158
21	19	157
22	20	157
23	21	155
24	22	154
25	23	154
26	23	153
27	24	152
28	25	152
29	26	151
30	27	150
31	28	150
32	29	148
33	30	147
34	31	147
35	32	146
36	32	145
37	33	143
38	34	142
39	35	142
40	36	141
41	37	140
42	38	139
43	39	138
44	39	137
45	40	136
46	41	135
47	42	134
48	43	133
49	44	132
50	45	131
51	45	130
52	46	129
53	47	128
54	48	127
55	49	126
56	50	125
57	51	125
58	51	123
59	52	122
60	53	121
61	54	120
62	54	119
63	55	118
64	56	117
65	57	116
66	58	115
67	58	114
68	59	113
69	60	112
70	61	111
71	62	110
72	62	109
73	63	108
74	64	107
75	65	106
76	66	105
77	66	104
78	67	103
79	68	102
80	69	101
81	70	101
82	71	100
83	71	99
84	72	98
85	73	97
86	74	96
87	75	95
88	76	94
89	76	94
90	77	93
91	78	92
92	79	91
93	80	90
94	80	89
95	81	88
96	82	87
97	83	86
98	84	86
99	85	85
100	86	84
101	87	83
102	88	82
103	89	82
104	90	81
105	90	80
106	91	79
107	92	78
108	93	78
109	94	77
110	95	76
111	95	75
112	96	74
113	97	73
114	98	72
115	99	71
116	100	70
117	100	70
118	101	69
119	102	68
120	103	67
121	104	66
122	104	65
123	105	64
124	106	63
125	107	62
126	107	61
127	108	61
128	109	60
129	110	59
130	111	58
131	111	57
132	112	56
133	113	55
134	114	55
135	115	54
136	116	53
137	116	52
138	117	51
139	118	50
140	119	49
141	120	49
142	120	48
143	121	47
144	122	46
145	123	45
146	124	44
147	124	43
148	125	43
149	126	42
150	127	41
151	128	40
152	129	39
153	130	38
154	131	38
155	131	37
156	132	36
157	133	35
158	134	34
159	135	33
160	135	32
161	136	32
162	137	31
163	138	30
164	139	29
165	139	28
166	140	27
167	141	26
168	142	26
169	143	25
170	143	24
171	144	23
172	145	22
173	146	21
174	146	20
175	147	20
176	148	19
177	149	18
178	150	17
179	151	16
180	151	15
181	152	15
182	153	14
183	154	13
184	155	12
185	156	11
186	156	10
187	157	10
188	158	9
189	159	8
190	159	7
191	160	6
192	161	5
193	162	5
194	162	4
195	163	3
196	164	2
197	165	1
198	165	0
199	166	0
